epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.3002494,0.17128305,0.90165627,0.07552803,0.20699368,0.079308026,0.9373438,0.04276771,-1,-1,-1,-1
1,0.1524638,0.07114571,0.9546875,0.036995303,0.14629385,0.068773635,0.95675,0.03647752,-1,-1,-1,-1
2,0.11031311,0.058418877,0.9690313,0.030760525,0.112031706,0.059234098,0.96721876,0.032091774,-1,-1,-1,-1
3,0.09446457,0.05510109,0.9730312,0.02881499,0.10273128,0.06069326,0.970375,0.02989722,-1,-1,-1,-1
4,0.084614895,0.054747976,0.975125,0.027676705,0.08798664,0.054074958,0.97453123,0.028483395,-1,-1,-1,-1
5,0.07594681,0.049734212,0.97903126,0.025131663,0.08483606,0.05200693,0.97484374,0.028176602,-1,-1,-1,-1
6,0.0686707,0.047755852,0.98175,0.023900509,0.08120668,0.052648347,0.9761875,0.027552437,-1,-1,-1,-1
7,0.06673043,0.04612959,0.98190624,0.02295884,0.07695776,0.049792107,0.9773125,0.026789907,-1,-1,-1,-1
8,0.06273249,0.041160204,0.98225,0.024233887,0.075237125,0.05063973,0.9774687,0.026427211,-1,-1,-1,-1
9,0.06398129,0.045803472,0.98175,0.024184834,0.07323322,0.049444,0.9785625,0.026505528,-1,-1,-1,-1
Test error on best validation model,-1,-1,-1,-1,-1,-1,-1,-1,0.08197652,0.05498624,0.9759688,0.026472995
