epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.24998586,0.25886717,0.93796873,0.0518484,0.13176523,0.13805623,0.9624063,0.034626786,-1,-1,-1,-1
1,0.10683576,0.1302153,0.9699375,0.029983,0.08733494,0.11671319,0.97325,0.029135728,-1,-1,-1,-1
2,0.06391998,0.09424398,0.98059374,0.02490919,0.07083101,0.101742744,0.979625,0.025289264,-1,-1,-1,-1
3,0.059140783,0.08272164,0.98125,0.023922076,0.065944105,0.09776318,0.980875,0.024154773,-1,-1,-1,-1
4,0.054883577,0.085389495,0.98390627,0.02164556,0.051389586,0.08386322,0.9844375,0.022404222,-1,-1,-1,-1
5,0.04531597,0.07577087,0.9851875,0.021317083,0.04930599,0.08110229,0.98475,0.022093905,-1,-1,-1,-1
6,0.037957136,0.06445357,0.98775,0.019373387,0.042397514,0.07388536,0.98765624,0.019837597,-1,-1,-1,-1
7,0.031423632,0.055798363,0.98990625,0.017192356,0.04073416,0.0728988,0.9876875,0.019930642,-1,-1,-1,-1
8,0.03027743,0.054972116,0.9904063,0.016675644,0.03874038,0.07008921,0.988,0.019428957,-1,-1,-1,-1
9,0.027358854,0.048789926,0.9903125,0.017730072,0.036650583,0.06896755,0.98896873,0.018708052,-1,-1,-1,-1
Test error on best validation model,-1,-1,-1,-1,-1,-1,-1,-1,0.04393487,0.07072662,0.98621875,0.01997359
