epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.33912113,0.2634015,0.87503123,0.11468792,0.16271088,0.081560455,0.9425,0.040533554,-1,-1,-1,-1
1,0.13777946,0.091173105,0.9513438,0.039513037,0.11371489,0.0754583,0.95928127,0.03600118,-1,-1,-1,-1
2,0.09032162,0.06873252,0.969625,0.030542234,0.08048784,0.061304774,0.97265625,0.029104054,-1,-1,-1,-1
3,0.07900567,0.062848926,0.9725625,0.028591888,0.078157015,0.06417485,0.9737812,0.028998233,-1,-1,-1,-1
4,0.06780566,0.059009854,0.97665626,0.027225027,0.06807022,0.057822052,0.97696877,0.026254294,-1,-1,-1,-1
5,0.062191572,0.05579228,0.97809374,0.02598826,0.05902464,0.052908096,0.97975,0.025846902,-1,-1,-1,-1
6,0.05130489,0.0488874,0.98240626,0.023386009,0.052546587,0.04950265,0.982,0.023721693,-1,-1,-1,-1
7,0.05106198,0.050107952,0.98228127,0.023665786,0.052678093,0.05145689,0.9824375,0.023843486,-1,-1,-1,-1
8,0.045959733,0.044042792,0.9846563,0.021603653,0.049793463,0.049219985,0.98325,0.02373157,-1,-1,-1,-1
9,0.04709393,0.046740185,0.98428124,0.021286527,0.04781249,0.04867211,0.983875,0.023338206,-1,-1,-1,-1
Test error on best validation model,-1,-1,-1,-1,-1,-1,-1,-1,0.060376693,0.057045095,0.97925,0.026128886
