epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,0.48832995,0.3965507,0.87609375,0.082867175,0.29007104,0.19563267,0.91740626,0.048468243,-1,-1,-1,-1
1,0.2140703,0.18108997,0.93878126,0.044757582,0.18506925,0.13945287,0.94209373,0.04256648,-1,-1,-1,-1
2,0.13816737,0.12963755,0.95925,0.035321955,0.13984185,0.11451598,0.9545,0.037578877,-1,-1,-1,-1
3,0.11542026,0.1130433,0.9639062,0.032997616,0.13046399,0.112890795,0.957,0.035419144,-1,-1,-1,-1
4,0.09064491,0.09435067,0.97078127,0.029757727,0.109314956,0.101692274,0.9645,0.03234796,-1,-1,-1,-1
5,0.082160875,0.09398773,0.9728125,0.02946628,0.10440622,0.097389616,0.9663125,0.032050923,-1,-1,-1,-1
6,0.071720436,0.07985802,0.97678125,0.02668082,0.0894326,0.08652322,0.9706875,0.029714726,-1,-1,-1,-1
7,0.06724646,0.073800184,0.97825,0.025987979,0.08501287,0.084838085,0.972875,0.028719004,-1,-1,-1,-1
8,0.06617537,0.074796796,0.9789375,0.025189206,0.082517885,0.081595294,0.97265625,0.028562142,-1,-1,-1,-1
9,0.064379886,0.07148733,0.97871876,0.02498513,0.08234391,0.07956406,0.97246873,0.02892675,-1,-1,-1,-1
Test error on best validation model,-1,-1,-1,-1,-1,-1,-1,-1,0.107020706,0.10844245,0.96796876,0.031161984
