epoch,total_train_c_loss_mean,total_train_c_loss_std,total_train_accuracy_mean,total_train_accuracy_std,total_val_c_loss_mean,total_val_c_loss_std,total_val_accuracy_mean,total_val_accuracy_std,total_test_c_loss_mean,total_test_c_loss_std,total_test_accuracy_mean,total_test_accuracy_std
0,1.6346028,0.44295087,0.542375,0.17014833,1.2213445,0.12571825,0.70675,0.078713685,-1,-1,-1,-1
1,1.0789651,0.14902967,0.74171877,0.08004377,0.98077786,0.11953499,0.77440625,0.071021006,-1,-1,-1,-1
2,0.8981751,0.119496405,0.80421877,0.07067458,0.8756962,0.11298521,0.82053125,0.0661508,-1,-1,-1,-1
3,0.8216629,0.10676784,0.8315625,0.06553491,0.8119949,0.106052674,0.84165627,0.06200201,-1,-1,-1,-1
4,0.7615204,0.10163759,0.8510625,0.06380852,0.77017874,0.10234203,0.857375,0.058762502,-1,-1,-1,-1
5,0.73113924,0.09911864,0.8653125,0.059374176,0.75129294,0.10034173,0.8616875,0.05921462,-1,-1,-1,-1
6,0.7155443,0.097138196,0.8721875,0.060740065,0.7397773,0.09886479,0.867875,0.05849693,-1,-1,-1,-1
7,0.7055331,0.0934791,0.874375,0.05822572,0.72228086,0.09685829,0.87240624,0.05750434,-1,-1,-1,-1
8,0.6949219,0.09743209,0.8788125,0.061054505,0.7217825,0.096283086,0.872625,0.056477178,-1,-1,-1,-1
9,0.6887477,0.093542255,0.88365626,0.05695968,0.7168755,0.09697421,0.8731875,0.057082694,-1,-1,-1,-1
Test error on best validation model,-1,-1,-1,-1,-1,-1,-1,-1,0.7675061,0.104194984,0.857375,0.061586324
